Link_num,O,D,FFT,Power,Capacity,B,Length,Link_num,x_n,y_n,Direction,x_n1,Cost
1,1,2,6,4,25900.20064,0.15,6,1,4004.3282536759775,4000,-4.328253675977521,4004.1833175047886,6.000514219665451
2,1,3,4,4,23403.47319,0.15,4,2,6973.988999700654,6800,-173.98899970065395,6968.162793259584,4.004731022657598
3,2,1,6,4,25900.20064,0.15,6,3,3980.2660568452834,4000,19.7339431547166,3980.9268688903753,6.00050197074585
4,2,6,5,4,4958.180928,0.15,5,4,5739.247095137755,5800,60.75290486224458,5741.281470680066,6.346453854201424
5,3,1,4,4,23403.47319,0.15,4,5,6998.051196531348,6800,-198.05119653134807,6991.419241873998,4.004796654718624
6,3,4,4,4,17110.52372,0.15,4,6,12937.879867083471,11900,-1037.8798670834713,12903.125357447449,4.196132921182693
7,3,12,4,4,23403.47319,0.15,4,7,8756.51952131749,9500,743.4804786825098,8781.415754764215,4.011758612448602
8,4,3,4,4,17110.52372,0.15,4,8,12999.869124726622,13700,700.1308752733785,13023.313750663478,4.199918949077909
9,4,5,2,4,17782.7941,0.15,2,9,16434.3924685718,15500,-934.3924685718011,16403.103344384373,2.21884461833286
10,4,11,6,4,4908.82673,0.15,6,10,5391.820398783416,4500,-891.8203987834158,5361.956845566782,7.310006251062218
11,5,4,2,4,17782.7941,0.15,2,11,16555.113695950484,16600,44.886304049516184,16556.61676151336,2.2253460373956533
12,5,6,4,4,4947.995469,0.15,4,12,8458.701638376004,4400,-4058.7016383760038,8322.791703445804,9.12446938897284
13,5,9,5,4,10000.0,0.15,5,13,14538.122761432867,17800,3261.8772385671327,14647.350185063186,8.350384034342488
14,6,2,5,4,4958.180928,0.15,5,14,5715.184898307061,5800,84.8151016929387,5718.025022065653,6.324015052960714
15,6,5,4,4,4947.995469,0.15,4,15,8483.750271557927,4400,-4083.7502715579267,8347.001556542575,9.185439621121876
16,6,8,2,4,4898.587646,0.15,2,16,11735.136629507499,7600,-4135.136629507499,11596.667187721005,11.880759408422906
17,7,8,3,4,7841.81131,0.15,3,17,10638.794035604436,11300,661.2059643955636,10660.935219560106,4.5244618693086815
18,7,18,2,3,23403.47319,0.2,2,18,14733.466801700397,13200,-1533.466801700397,14682.117037217557,2.0998007711489244
19,8,6,2,4,4898.587646,0.15,2,19,11736.123065858726,7600,-4136.1230658587265,11597.62059220336,11.884082069105043
20,8,7,3,4,7841.81131,0.15,3,20,10747.896453721889,8600,-2147.896453721889,10675.971859782298,4.587964745680514
21,8,9,10,4,5050.193156,0.15,10,21,5760.22179056019,12000,6239.77820943981,5969.167390898325,12.538727725636612
22,8,16,5,3,5045.822583,0.2,5,22,7827.593874986558,11400,3572.406125013442,7947.219688178655,8.73326592004309
23,9,5,5,4,10000.0,0.15,5,23,14633.795355629625,18900,4266.204644370375,14776.653749095398,8.439451367041972
24,9,8,10,4,5050.193156,0.15,10,24,5726.378296220673,11300,5573.621703779327,5913.01693847113,12.479587527078866
25,9,10,3,4,13915.78842,0.15,3,25,21386.32473225651,19300,-2086.324732256511,21316.461932802817,5.510301430188437
26,10,9,3,4,13915.78842,0.15,3,26,21548.153832113756,19800,-1748.153832113756,21489.615044407838,5.587149438631387
27,10,11,5,3,10000.0,0.2,5,27,16475.405700202,17400,924.5942997979982,16506.36672230183,9.472067532302733
28,10,15,6,3,13512.00155,0.2,6,28,22185.71471409731,26100,3914.28528590269,22316.788714086662,11.311809107093527
29,10,16,4,3,4854.917717,0.2,4,29,12017.500155833739,9000,-3017.500155833739,11916.45595836094,16.13351901668795
30,10,17,8,3,4993.510694,0.2,8,30,7535.465400709687,7200,-335.46540070968695,7524.23198548382,13.498348588311302
31,11,4,6,4,4908.82673,0.15,6,31,5433.08842904789,5300,-133.0884290478898,5428.631821653832,7.350575269161025
32,11,10,5,3,10000.0,0.2,5,32,16476.641078474153,19800,3323.358921525847,16587.927281555345,9.473073597239356
33,11,12,6,3,4908.82673,0.2,6,33,8357.286283666774,8800,442.71371633322633,8372.111022645033,11.921666923450445
34,11,14,4,3,4876.508287,0.2,4,34,10269.317030697375,5100,-5169.317030697375,10096.216959819347,11.471155430485904
35,12,3,4,4,23403.47319,0.15,4,35,8718.592460505035,7700,-1018.592460505035,8684.483810162601,4.01155621215591
36,12,11,6,3,4908.82673,0.2,6,36,8562.386639463082,6900,-1662.3866394630822,8506.719857292648,12.3684338476275
37,12,13,3,3,25900.20064,0.2,3,37,13574.23054495178,16700,3125.7694550482192,13678.900254896855,3.086374894127936
38,13,12,3,3,25900.20064,0.2,3,38,13841.40383993563,13100,-741.4038399356305,13816.577144942852,3.091576129682663
39,13,24,4,2,5091.256152,0.25,4,39,13076.92820940883,16200,3123.0717905911697,13181.507585194488,10.59722936353639
40,14,11,4,3,4876.508287,0.2,4,40,10206.720083437693,10300,93.27991656230733,10209.843660512293,11.335364528323808
41,14,15,5,3,5127.526119,0.2,5,41,8542.052029598093,4200,-4342.052029598093,8396.653805883785,9.6234162307668
42,14,23,4,2,4924.790605,0.25,4,42,7747.349587410298,6000,-1747.3495874102982,7688.837730692427,6.474746776762549
